group,activity,belowExpectations,sometimesAchievingExpectations,meetingExpectations,exceedingExpectations,settingNewStandard
Pre-demo and demo,"Participate in pre-demo sessions to engage with designers and product managers, understand features, express ideas, raise questions, and highlight concerns.",Rarely attends pre-demo or demo sessions,Attends some pre-demo and demo sessions,Regularly participates in pre-demo sessions,Actively contributes ideas and raises thoughtful questions during pre-demo sessions,"Leads discussions in pre-demo sessions, facilitating better understanding across teams"
,Attend demo sessions to ensure there is no inconsistency and clarify any missing or unclear requirements at an early stage.,Shows little engagement or understanding of features,Occasionally asks questions or expresses ideas,Engages with designers and product managers,Identifies potential inconsistencies or missing requirements during demo sessions,Proactively follows up on clarifications and suggests improvements post-demo
,Grasp the final presentation of features during demo sessions.,,,Attends demo sessions and grasps final feature presentations,,
,,,,,,
Investigation,Review Documentation and Requirements:,,,,,
,"Study the feature documentation, specifications, and feature requests.",Fails to review documentation or engage with business units,Reviews some documentation and requirements,"Studies feature documentation, specifications, and requests thoroughly",Builds user flows and prototypes to visualize feature implementation,Leads cross-functional discussions to ensure comprehensive understanding of requirements
,"Engage with business units, such as product managers and design teams, to clarify all requirements, terms, feature limitations, and user demographics.",,,Engages with business units to clarify requirements,,Develops innovative approaches to prototype and test complex features
,Analyze Implementation Capabilities:,,,,,Creates detailed reports that serve as valuable resources for the entire team
,Investigate platform and third-party library capabilities.,Shows minimal effort in investigating platform capabilities,Conducts basic investigation into existing codebase,Investigates platform and third-party library capabilities,"Conducts thorough investigations, including past implementations and business logic",
,"Conduct thorough investigations into the existing codebase and business processes, including past implementations and business logic.","Final implementation not aligns with the investigation, some unforeseen issues found that heavily impact delivery","Final implementation not fully aligns with the investigation, some unforeseen issues found that impact delivery (medium impact)",Clearly documents findings and potential blockers,"Final implementation aligns perfectly with the investigation, with no unexpected issues or surprises during development","Final implementation not only aligns perfectly with the investigation but also identifies and resolves potential issues that weren't initially apparent, leading to an even better solution than originally envisioned"
,"Assess the alignment of requirements with technical capabilities, identifying blockers and limitations.",,,Assesses alignment of requirements with technical capabilities,Propose enhanced solutions to optimize implementation and streamline logic while adhering to business requirements.,
,Develop User Flows and Prototypes:,,,"Final implementation mostly aligns with the investigation, with only minor unforeseen issues that don't significantly impact delivery",,
,"Build user flows to visualize feature implementation, if applicable.",,,,,
,"Create prototypes to present to the team, if applicable.",,,,,
,"If necessary, test the code to understand functionality, compile a report on feasibility, and document findings and demo code in the wiki or repository.",,,,,
,Clarify and Document Findings:,,,,,
,Ask questions to clarify any uncertainties and identify edge cases.,,,,,
,"Document the analysis, including what can and cannot be done, in a detailed report.",,,,,
,,,,,,
API Specifications,"FE, iOS, Android: ",,,,,
,Review the API draft from the backend team.,Shows little involvement in API review process,Reviews API drafts when prompted,Actively reviews API drafts from the backend team,Proactively engages in API specification discussions,Takes a leadership role in API specification development
